id,name,description,image,type,weight,special_effect,how_to_acquire,in_game_section,dlc
armor_158,Night Maiden Twin Crown,"Twin crowns worn by the nightmaidens of the Eternal City.Indicates the highest clerical rank, and hides the eyes with silk.Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/night_maiden_twin_crown_elden_ring_wiki_guide_200px.png,helm,3.3,,Pieces of the Night Maiden Set are dropped by Night Maiden enemies found in Nokron and Nokstella.Two can be found in the Night's Sacred Ground area in the church with the large Silver Tear Ball. Once this building's shortcut is opened these two can be easily farmed by resetting at the Night's Sacred Ground site of grace.,6,0
armor_159,Night's Cavalry Helm,"Pitch-black helm with flowing black hair.Worn by the Night's Cavalry who ride funeral steeds.The Night's Cavalry, who now wander the dim roads at night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/nights_cavalry_helm_elden_ring_wiki_guide_200px.png,helm,5.5,,"You can find the Night's Cavalry Set within the Consecrated Snowfield: From the Inner Consecrated Snowfield site of grace at night, look southwest and there will be a caravan being pulled by two giants and two Night's Cavalry escorts. Kill both the escorts to receive the armor alongside an Ancient Dragon Smithing Stone. See the location in the Elden Ring Map",10,0
armor_160,Night's Cavalry Helm (Altered),"Pitch-black helm thinly painted with dried blood.Worn by the Night's Cavalry who ride funeral steeds.The Night's Cavalry, who now wander the dim roads of night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/nights_cavalry_helm_(altered)_elden_ring_wiki_guide_200px.png,helm,5.1,,"Boc the Seamster can alter the original Night's Cavalry Helm, if you have it in your possession.",10,0
armor_161,Nomadic Merchant's Chapeau,"Chapeau of the nomadic merchants.Decorated with tiny gems in a wide spectrum of colors.These merchants once thrived as the Great Caravan, but after being accused of heretical beliefs, their entire clan was rounded up and buried alive far underground.Then, they chanted a curse of despair, and summoned the flame of frenzy.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/nomadic_merchants_chapeau_elden_ring_wiki_guide_200px.png,helm,3.0,,"After defeating Mohg, the Omen, open the secret passage behind the altar and journey into the mass grave. The full Nomadic Merchant's Set is found behind the first breakable tent you can see. Break the tent by baiting out a Frenzy attack from the Nomad there. [Elden Ring Map here]",5,0
armor_162,Nox Mirrorhelm,"Helm fashioned from a crystal looking-glass. One among the Eternal City's ritual implements. Easily broken and weak against striking attacks. Worn by those committed to high treason, it wards off the intervention of the Greater Will and its vassal Fingers.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_mirrorhelm_elden_ring_wiki_guide_200px.png,helm,7.5,,"Cliffbottom Catacombs: In the sealed room, accessible by using a Stonesword Key at the Imp Statue. See it on the Elden Ring Map here.",4,0
armor_163,Nox Monk Hood,"Silk hood worn by the monks of the Eternal City.Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_monk_hood_elden_ring_wiki_guide_200px.png,helm,3.0,,"Can be looted from the Nox Priest common enemies in Nokstella, Eternal City.",6,0
armor_164,Nox Monk Hood (Altered),"Hood worn by the monks of the Eternal City.Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_monk_hood_(altered)_elden_ring_wiki_guide_200px.png,helm,2.7,,"After completing Boc's Questline, you (or Boc) can alter Nox Monk Hood into Nox Monk Hood (Altered).",6,0
armor_165,Nox Swordstress Crown,"Crown worn by the swordstresses of the Eternal City.These women are the personal guards of the nightmaidens, and the silk hides their eyes.Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_swordstress_crown_elden_ring_wiki_guide_200px.png,helm,3.3,,"Pieces of the Nox Swordstress Set are dropped by Nox Swordstress enemies found in Nokron and Nokstella.Three can be found in relatively close proximity to the Nokstella, Eternal City site of grace. One up the stairs in a side room, and 2 in the river riding giant ants.",6,0
armor_166,Nox Swordstress Crown (Altered),"Crown worn by swordstresses of the Eternal City.The silk eye covering is removed, flaunting convention.Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_swordstress_crown_(altered)_elden_ring_wiki_guide_200px.png,helm,2.7,,"After completing Boc's Questline, you (or Boc) can alter Nox Swordstress Crown into Nox Swordstress Crown (Altered).",6,0
armor_167,Octopus Head,A land octopus whelp worn directly on the head. Has a lingering warmth reminiscent of human skin. Those who can withstand the smell will find its organic elasticity excellent for negating strikes.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/octopus_head_elden_ring_wiki_guide_200px.png,helm,3.6,,Found by killing Land Octopus or Giant Land OctopusThere are dozens of them south-west of Temple Quarter site of grace,4,0
armor_168,Okina Mask,"A wooden mask that depicts an old man baring his teeth. The source of the sobriquet of the great swordman of the Land ofReeds.Raises dexterity as it lowers focus.The more he sharpened his mind, the more the absurdities of theworld came into stark relief. And so Okina renounced it all, androse to a higher plane. There was only himself. His katana. And itsmastery.Before long, Okina became a demon of a swordsman.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/okina_mask_elden_ring_wiki_guide_200px.png,helm,3.6,+3 Dexterity. Reduces focus by 44 points.,Dropped by Bloody Finger Okina at Mountaintops of the Giants. Elden Ring Map here,7,0
armor_169,Old Aristocrat Cowl,"Cowl made of soft cloth.Travel attire worn by nobles in the capital. Garb favored by the aged.Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/old_aristocrat_cowl_elden_ring_wiki_guide_200px.png,helm,2.2,,"All pieces of the Old Aristocrat Set are dropped by the Old Aristocrat enemies, often found within larger groups of Aristocrats wandering the roads of most areas. The green cowl makes them easily distinguishable from other Aristocrats.There are a number of Old Aristocrats within the caravan of enemies north of the Agheel Lake South site of grace.Altus Plateau- There are Old Aristocrats to the left of Gold Mask's Bridge.",1,0
armor_170,Olivinus Glintstone Crown,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Increases intelligence to the detriment of HP. The lineage of the Olivinus Conspectus began with the sorcerer Lusat, and its adherents continue his study of meteors.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/olivinus_glintstone_crown_elden_ring_wiki_guide_200px.png,helm,5.1,+3 Intelligence. Reduces HP by 9%.,"From the Schoolhouse Classroom site of grace, turn left and head to the room at the end of the corridor. Attack the empty bookshelf to reveal a hidden passage. Head out, turn left, and then jump up the rocks to find this item on a corpse. Elden Ring Map here",2,0
armor_171,Omen Helm,"Malformed helm resembling an Omen with its horns cut off.Worn by the Dung Eater, their form is a vision of the landscape of his mind, and of his appearance as he wished to see it.The heart of an omen without the body to match; could there be any crueler existence? What does it matter, then, if the curse claims at all?",http://eldenring.wiki.fextralife.com/file/Elden-Ring/omen_helm_elden_ring_wiki_guide_200px.png,helm,9.9,Increases damage of Omen Bairn and Regal Omen Bairn by 5%.,The Omen set can be found after killing the Dung Eater in the Subterranean Shunning-Grounds at the Leyndell Royal Capital. Elden Ring Map here,11,0
armor_172,Omensmirk Mask,"Mask with long, hideously twisted horns worn by the Omenkillers.Increases strength. Bears the smirking face of an elder, twisted in wicked delight. This visage is carved in the image of the evil spirits that haunt the Omen in their nightmares.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/omensmirk_mask_elden_ring_wiki_guide_200px.png,helm,3.0,+2 Strength,"Dropped by Omensmirk and wearing mask outside of Lower Capital Church Site of Grace in Leyndell, Royal Capital. Elden Ring Map here",5,0
armor_173,Page Hood,Hood worn by pages who serve the nobility and are mindful to keep them out of harm's way. The unassuming sack-like appearance befits their unseen and unknown stature.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/page_hood_elden_ring_wiki_guide_200px.png,helm,1.4,,Drops from Page enemies.,1,0
armor_174,Perfumer Hood,"Hood of an Erdtree Capital perfumer.In time past, the role of perfumer was much respected; a blessed apothecary in the eyes of the many. But after entering the battlefields of the Shattering they performed no such role, trading their aromatics for poisons and explosives.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/perfumer_hood_elden_ring_wiki_guide_200px.png,helm,1.7,,"Chance to drop from Perfumer enemies encountered in Leyndell, Royal Capital.",3,0
armor_175,Preceptor's Big Hat,"Large hat with the movements of the stars drawn on the inside of the brim. Worn by the magic preceptors who served the Carian royals.Increases mind to the detriment of stamina.Glintstone sorcerers are the descendants of astrologers, a fact that the Carians remain of aware of. Even if their fate has been long severed from the stars.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/preceptors_big_hat_elden_ring_wiki_guide_200px.png,helm,3.6,+3 Mind. Reduces max Stamina by 9%.,Found on Seluvis's body in Seluvis's Rise after reaching the end of Ranni's questline. Elden Ring Map here,2,0
armor_176,Prisoner Iron Mask,"Iron mask forced on a prisoner convicted of an appalling crime. Thick, heavy, and utterly stifling. A foul creation designed to torment the wearer, either slowly fermenting hatred within their heart, or a spiritual fervor that is near indistinguishable from it.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/prisoner_iron_mask_elden_ring_wiki_guide_200px.png,helm,8.6,,Starting Equipment for the Prisoner Class.Can be purchased from the Nomadic Merchant in Ainsel River for 1000 Runes. Elden Ring Map here,1,0
armor_177,Prophet Blindfold,"Blindfold of exiled prophets who foretold misfortune and were persecuted and driven from their homes as a result. Why hesitate, if the path leading to the future is clear? Just close your eyes, and walk.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/prophet_blindfold_elden_ring_wiki_guide_200px.png,helm,1.0,,"Starting Equipment for the Prophet Class.Can be purchased from Hermit Merchant at Hermit Merchant's Shack for 1,000 Runes. Elden Ring Map here",2,0
armor_178,Pumpkin Helm,"An oval helmet large enough to cover any head. Very heavy and very hard.Reduces damage from headshots and impacts.The inside of the helm is pitch black, keeping the crazed warrior within from panicking. Perhaps its rather roomy interior also helps alleviate feelings of pressure and claustrophobia.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/pumpkin_helm_elden_ring_wiki_guide_200px.png,helm,12.3,Reduces damage from headshots and impacts.,"Dropped by Pumpkin Head. Can be found in Castle Morne's courtyard, [Elden Ring Map here] or at Waypoint Ruins. [Elden Ring Map here]",11,0
armor_179,Queen's Crescent Crown,"A tall crown depicting the moon. Worn by Rennala, Queen of the Full Moon. Increases intelligence. When Rennala, head of both the Academy of Raya Lucaria and the Carian royal family, lost her husband Radagon, her heart went along with him. And then, those at the academy realized. That Rennala was no champion, after all.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/queens_crescent_crown_elden_ring_wiki_guide_200px.png,helm,2.2,+3 Intelligence,"The Queen's Crescent Crown Helm can be purchased to Enia in Roundtable Hold for 7,000 Need to defeat Rennala, Queen of the Full Moon Bossfight first.",2,0
armor_180,Radahn Soldier Helm,Helm worn by soldiers who fought by General Radahn's side. Its visor is fashioned after a lion's fangs.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/radahn_soldier_helm_elden_ring_wiki_guide_200px.png,helm,4.0,,Easily found in large numbers around Fort Gael. Elden Ring Map Here,7,0
armor_181,Radahn's Redmane Helm,"Helm of the golden lion, with flowing red hair.Worn by General Radahn.Radahn inherited the furious, flaming red hair of his father Radagon, and is fond of its heroic implications.""I was born a champion's cub. Now I am the Lord of the Battlefield's lion.""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/radahns_redmane_helm_elden_ring_wiki_guide_200px.png,helm,7.5,,"Can be purchased from Enia at the Roundtable Hold for 8,000 runes once Starscourge Radahn has been defeated.",10,0
armor_182,Radiant Gold Mask,"A mask designed to resemble a blazing golden halo.Created and left behind by Lord Goldmask, a staunch pursuer of Golden Order fundamentalism.Strenthens Golden Order incantations.Its striking design represents both the brilliant inspiration that once shone upon him, and the vision of a ring that he will surely find at the end of his pursuit.""To you who seek to shine as I do, wear it well!""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/radiant_gold_mask_elden_ring_wiki_guide_200px.png,helm,2.2,Strengthens Golden Order incantations.,Found on collapsed bridge NW of Writheblood Ruins. Drop down two times heading south and it is on a body. Elden Ring Map here,2,0
armor_183,Ragged Hat,Helm pieced together from scavenged metal.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ragged_hat_elden_ring_wiki_guide_200px.png,helm,3.3,,Not currently obtainable.,0,0
armor_184,Ragged Hat (Altered),Helm pieced together from scavenged metal.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ragged_hat_(altered)_elden_ring_wiki_guide_200px.png,helm,3.0,,Not currently obtainable.,0,0
armor_185,Raging Wolf Helm,"A helm worn by Vargram the Raging Wolf, one of the first Tarnished to visit the Roundtable Hold. Vargram earned his nickname from the white wolf pelt that adorns this helm.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/raging_wolf_helm_elden_ring_wiki_guide_200px.png,helm,4.4,,"Leyndell, Royal Capital. After obtaining the second to last letter from Volcano Manor, you will be sent to assist Knight Bernahl with assassinating Vargram the Raging Wolf and Errant Sorcerer Wilhelm. On successful invasion, you will receive the full Raging Wolf Set. See it on the Elden Ring Map here.",9,0
armor_186,Raya Lucarian Helm,Helm worn by Raya Lucaria Academy soldiers.Its brow adorned with a single cuckoo's feather.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/raya_lucarian_helm_elden_ring_wiki_guide_200px.png,helm,4.0,,The Phantom Raya Lucarian Soldiers in Carian Manor drop all pieces of the Raya Lucarian Soldier Set. They are easily farmed on the ramparts after the Manor Lower Level site of grace.,7,0
armor_187,Redmane Knight Helm,Helm worn by knights who fought by General Radahn's side.The red plume is a symbol of Radahn's pedigree as Lord Radagon's son - the mane of the proud Red Lion.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/redmane_knight_helm_elden_ring_wiki_guide_200px.png,helm,5.1,,Chance to drop from Radahn Knight in Fort Gael. Elden Ring Map here,8,0
armor_188,Rotten Duelist Helm,"Bronze helm decorated with innumerable snakes, eaten through by scarlet rot. Worn by gladiators who were driven from the colosseum. The wearer becomes a slightly easier target for foes.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/rotten_duelist_helm_elden_ring_wiki_guide_200px.png,helm,6.4,Increases likelihood of being targeted by foes.,Dropped by a Rotten Duelist in the Consecrated Snowfield. Elden Ring Map here,6,0
armor_189,Royal Knight Helm,"Silver helm of Loretta, a Knight who served Miquella's Haligtree.Loretta, once a royal Carian Knight, went on a journey in search of a haven for Albinaurics, and determined that the Haligtree was their best chance for eventual salvation.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/royal_knight_helm_elden_ring_wiki_guide_200px.png,helm,6.6,,"Can be brought from Finger Reader Enia, at Roundtable Hold after defeating Loretta, Knight of the Haligtree for 4000.",9,0
armor_190,Royal Remains Helm,"Helm graced with gold human bones.Worn by the unspeaking adherent of Sir Gideon the All-Knowing.Slowly replenishes HP when HP is reduced.It is said that the bones belong to an ancient lord - the soulless king. The lord of the lost and desperate, who was known as Ensha.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/royal_remains_helm_elden_ring_wiki_guide_200px.png,helm,4.6,Slowly replenishes HP when HP is under 18%.,"Upon attaining the Haligtree Secret Medallion (Right), Ensha of the Royal Remains will invade the players world the next time they travel back to Roundtable Hold. The full Royal Remains Set is acquired after beating him.",9,0
armor_191,Ruler's Mask,"Mask in the image of a wizened sage. Customary dress among lords in a smaller nation. Increases faith. Such a mask illustrates the qualities of an ideal lord: chiefly, wise and possessing a certain defanged geniality. One at the center of society often finds these qualities most expedient.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/rulers_mask_elden_ring_wiki_guide_200px.png,helm,2.2,+1 Faith,"The Ruler's Mask Helm can be found on a corpse laying face-down on a carriage northeast of the Abandoned Coffin site of grace in west Altus Plateau, alongside the Ruler's Robe. Elden Ring Map here",3,0
armor_192,Sacred Crown Helm,"Flanged iron cap adorned with a crown of unalloyed gold.Increases faith.Worn by foot soldiers sworn to the Haligtree.Who is it that Miquella shall bless, if not the low and the meek?",http://eldenring.wiki.fextralife.com/file/Elden-Ring/sacred_crown_helm_elden_ring_wiki_guide_200px.png,helm,3.6,+1 Faith,Drops from the ballista soldiers just outside of the Elpheal Inner Wall site of Grace. Elden Ring Map here,6,0
armor_193,Sage Hood,A burgundy pointed hood. Attire of the wise sages who were deemed heretical. Evidence that the wearer was driven from town.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sage_hood_elden_ring_wiki_guide_200px.png,helm,2.2,,"Can be found in Stillwater Cave - Liurnia of the Lakes, just ahead and below the Lake Facing Cliffs, it's all sitting on a poison submerged corpse near the end, guarded by Giant Bats that will attack you when you take it. Elden Ring Map here",2,0
armor_194,Sanguine Noble Hood,"Hood of dyed black cloth featuring gold embroidery. Worn by the nobles who serve the Lord of Blood. Known to strike from pools of blood, these assassins are missionaries come to share the gospel of accursed blood.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/sanguine_noble_hood_elden_ring_wiki_guide_200px.png,helm,1.4,,"The entire Sanguine Noble Set is dropped by Sanguine Noble NPC invasion in west Mountaintops of The Giants. Includes Sanguine Noble Hood, Sanguine Noble Robe and Sanguine Noble Waistcloth. Elden Ring Map here",3,0
armor_195,Scaled Helm,"Helm worn by Old Knight Istvan.The corroded metal is reinforced with rock-hard scales, making it highly effective against non-physical attacks.Istvan is one of a few wizened Tarnished who survive to this day.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/scaled_helm_elden_ring_wiki_guide_200px.png,helm,6.8,,"Can be found after killing the first assassination target for the Volcano Manor, Old Knight Istvan. Elden Ring Map here",10,0
armor_196,Shining Horned Headband,Headband decorated by a pair of shining horns. Worn by ancestral follower shamans.Horns with buds that also shine are ideal ceremonial items for ancestral worship. Strengthens Ancestral Infant's Head.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shining_horned_headband_elden_ring_wiki_guide_200px.png,helm,3.3,Increases the attack power of Ancestral Infant's Head by 20%.,"Chance to drop from Ancestral Follower Shaman, which can be found singing in the Ancestral Woods in Siofra River.The Ancestral Woods area is only available after gaining access to Nokron, Eternal City.",3,0
armor_197,Silver Tear Mask,"Mask fashioned from the corpse of a formless Silver Tear, supported by its hardened, shed husk. Greatly increases arcane to the detriment of physical attack power. To imitate the imitator is a cunning play indeed.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/silver_tear_mask_elden_ring_wiki_guide_200px.png,helm,4.6,+8 Arcane. Reduces physical attack (-5% AR),"Dropped by the Mimic Tear boss in Nokron, Eternal City. Elden Ring Map here",4,0
armor_198,Skeletal Mask,"Skeletal mask that tightly grips the face.Worn by the assassin's of Ravensmount.This ritual implement relentlessly digs into the wearer's face, preserving one's human instincts while dressed in imitation of the Deathbirds.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/skeletal_mask_elden_ring_wiki_guide_200px.png,helm,3.0,,"he Sage's Cave, in a chest behind an illusory wall. Elden Ring Map here",5,0
armor_199,Snow Witch Hat,"Witch's pointed hat, frigid and frozen through. Of a style associated with practitioners of heretical sorcery. Strengthens cold sorcery. Once worn by the snowy crone who the young Ranni encountered deep in the woods. She was a witch, and well versed in cold sorceries. It is said that the doll that houses Ranni's soul was modeled after her. That old witch was Ranni's secret mentor.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/snow_witch_hat_elden_ring_wiki_guide_200px.png,helm,2.2,Strengthens cold sorceries by 10%.,Found in a chest on the upper floor of Renna's Rise during the progression of Ranni's questline. Elden Ring Map here,2,0
armor_200,Spellblade's Pointed Hat,"Glintstone sorcerer Rogier's traveling attire, graced with an intricate, aristocratic decoration. Strengthens glintstone sorcery skills. Rogier spent his entire life behaving with utter detachment. No one noticed the anger, grief, regret, or fear that existed along with it.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/spellblades_pointed_hat_elden_ring_wiki_guide_200px.png,helm,1.5,Strengthens magic and cold weapon skills by 2%.,Roundtable Hold - Drops from Rogier.,2,0
armor_201,Traveler's Hat,"Hat of a traveling perfumer of no renown. An associate of a healer, he is said to be in search of new aromatics and flower gardens, in hopes of treating Misbegotten, Omen and all those seen as impure.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/travelers_hat_elden_ring_wiki_guide_200px.png,helm,1.7,,"Found in a corpse in one of the corners of the buildings within Street of Sages Ruins, in Caelid's Swamp area, alongside the entire Traveler's Set. Elden Ring Map here",3,0
armor_202,Traveling Maiden Hood,"Hood worn by traveling maidens.Maidens traversed the Lands Between for different reasons. Some to seek audience with the Fingers. Others, to find the Tarnished who they were destined to guide.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/traveling_maiden_hood_elden_ring_wiki_guide_200px.png,helm,1.6,,On a corpse inside the Shack of The Lofty in the northern Mountaintops of the Giants. The rest of the set can also be looted here. Elden Ring Map here,2,0
armor_203,Tree Sentinel Helm,Golden helm of the heavy cavalry Tree Sentinels who serve the Erdtree.Very few are permitted to wear a golden wood crest of such size as seen on this helm.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/tree_sentinel_helm_elden_ring_wiki_guide_200px.png,helm,8.1,,The entire Tree Sentinel Set is obtained by destroying all three chariots in the Auriza Hero's Grave. Elden Ring Map here,10,0
armor_204,Twinned Helm,"Helm depicting entwined twins of gold and silver.The two known as D are inseparable twins.They are of two bodies and two minds, but one single soul. Not once do they stand together; not one word do they speak to one another.Perhaps this armor longs to find its way to the other D.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/twinned_helm_elden_ring_wiki_guide_200px.png,helm,5.1,,Earliest location: Limgrave East upon killing D Hunter. Elden Ring Map hereObtained at end of D Hunter's questline.,9,0
armor_205,Twinsage Glintstone Crown,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy. Greatly increases intelligence to the detriment of HP and stamina. Scholars of the Twinsage Conspectus were the elites of the academy, permitted to study and excel in sorceries of all kinds.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/twinsage_glintstone_crown_elden_ring_wiki_guide_200px.png,helm,5.1,+6 Intelligence. Reduces max Stamina and max HP by 9%.,Dropped by a crab in Raya Lucaria Academy. Very close to Azur's Glintstone Staff. Elden Ring Map here,2,0
armor_206,Vagabond Knight Helm,"Helm of a knight banished from their motherland.Dirty and battered after enduring a lengthy vagabond journey. The visor is broken and can no longer be lowered. Metal armor is heavy, but also sturdy, offering significant damage negation.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/vagabond_knight_helm_elden_ring_wiki_guide_200px.png,helm,4.0,,"A Starting Equipment Piece for the Vagabond Class.Sold by the Nomadic Merchant located in eastern Mountaintops of the Giants for 1,000 Runes. Elden Ring Map here",8,0
armor_207,Veteran's Helm,"An old helm that has seen many battles.Worn by Niall, the great veteran general of Sol.Nial was a lone survivor who commanded spirits to defend his long-passed master.This aging general could not die, nor did he have anywhere to fade away.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/veterans_helm_elden_ring_wiki_guide_200px.png,helm,8.1,,Can be bought from Finger Reader Enia at Roundtable Hold after defeating Commander Niall,10,0
armor_208,Vulgar Militia Helm,"Helm worn by lean, mean, and filthy militiamen. The upward extension serves to create an appearance of larger size, however slightly.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/vulgar_militia_helm_elden_ring_wiki_guide_200px.png,helm,3.6,,Can be found by killing Vulgar Militiamen enemies.,6,0
armor_209,White Mask,"""Bloodstained, faintly grinning mask.Worn by war surgeons who were effectively mercy killers.The Lord of Blood's curse enlivens the wearer when bloodletting occurs. Slightly raises attack power when there is blood loss nearby.""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/white_mask_elden_ring_wiki_guide_200px.png,helm,3.2,Slightly raises attack power (10% for 20s) when there is blood loss nearby.,The entire War Surgeon Set is obtained after defeating all three Nameless White Mask NPC invaders in the blood swamp near the Mohgwyn Dynasty Mausoleum.,5,0
armor_210,Witch's Glintstone Crown,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.Increases intelligence and arcane to the detriment of stamina.This gentle-looking crown was granted to a scholar who excelled in her studies, which also merited the title of ""witch.""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/witchs_glintstone_crown_helmet_elden_ring_wiki_guide_200px.png,helm,5.1,+3 Intelligence. +3 Arcane. Reduces max Stamina by 18%.,Obtained by progressing in Sorceress Sellen's Questline. Elden Ring Map here,2,0
armor_211,Zamor Mask,"Mask worn by knights of Zamor, hailed as heroes in the War against the Giants. These long-lived warriors, clad in biting, freezing winds, are said to have been the mortal enemies of the Fire Giants since time immemorial.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/zamor_mask_elden_ring_wiki_guide_200px.png,helm,3.8,,Dropped by the Ancient Hero of Zamor fought at the Mountaintops of the Giants. Elden Ring Map here,7,0
armor_212,Dryleaf Robe,"Sun-faded and lightly soiled travel attire worn by clergymen. The gold necklace found under the breast belongs to a group of spiritual seekers known as the Dryleaf Sect. This sect rejects dependence on others in all matters of faith, seeking self-discipline and self-sufficiency above all else.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/dryleaf_robe_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,chest armor,5.1,,Found under a waterfall in the lower portions under Bonny Village. This area can only be accessed by using the ladder in Shadow Keep to get down to a special teleport coffin (this Elden Ring Map location). This will take you to Ruins of Unte and you must follow the cliffs downstream and then carefully drop down to bottom level to reach the mausoleum. [Shadow of the Erdtree Map],15,1
armor_213,Dryleaf Robe (Altered),"Sun-faded and lightly soiled travel attire worn by clergymen. The leather satchel hanging from the shoulder is decorated with one of Miquella's emblems, a golden grass motif.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/dryleaf_robe_(altered)_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,chest armor,4.1,,Alter Dryleaf Robe at any site of Grace.,15,1
armor_214,Gaius's Armor,The black iron chest armor of Commander Gaius. Part of an armor set patterned after fallen seeds. Gaius was the most senior disciple of the same Alabaster Lord who taught Radahn and Gaea gravitational technique.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gaiuss_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,chest armor,20.1,,Purchased from the Enia at the Roundtable Hold after defeating Commander Gaius.,12,1
armor_215,Leda's Armor,"Chest armor of Needle Knight Leda. Slightly strengthens attacks following a dodge roll or backstep, as well as dash attacks. Embroidered with a golden crossed-tree motif, the chalk white cloak and surcoat symbolize the honor of the Needle Knights. ""Kindly Miquella fashioned us as his needles to quell all, to ward away all.""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/ledas_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,chest armor,10.6,"Slightly strengthens attacks following a dodge roll or backstep, as well as dash attacks.",Found on Needle Knight Leda's body after invading and defeating her,19,1
