id,name,image,description,type,damage negation,resistance,weight,special effect,how to acquire,in-game section,dlc
210,Witch's Glintstone Crown,http://eldenring.wiki.fextralife.com/file/Elden-Ring/witchs_glintstone_crown_helmet_elden_ring_wiki_guide_200px.png,"One of the glintstone crowns bestowed upon Raya Lucaria scholars whose pursuits were deemed worthy.Increases intelligence and arcane to the detriment of stamina.This gentle-looking crown was granted to a scholar who excelled in her studies, which also merited the title of ""witch.""",helm,"[{'Physical': '4.4', 'VS Strike': '3.1', 'VS Slash': '5.2', 'VS Pierce': '4.8', 'Magic': '4.4', 'Fire': '4.5', 'Lightning': '3.4', 'Holy': '3.8'}]","[{'Immunity': '16', 'Robustness': '26', 'Focus': '10', 'Vitality': '10', 'Poise': '6'}]",5.1,+3 Intelligence. +3 Arcane. Reduces max Stamina by 18%.,Obtained by progressing in Sorceress Sellen's Questline. Elden Ring Map here,2,0
211,Zamor Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/zamor_mask_elden_ring_wiki_guide_200px.png,"Mask worn by knights of Zamor, hailed as heroes in the War against the Giants. These long-lived warriors, clad in biting, freezing winds, are said to have been the mortal enemies of the Fire Giants since time immemorial.",helm,"[{'Physical': '4.2', 'VS Strike': '3.4', 'VS Slash': '4.4', 'VS Pierce': '3.8', 'Magic': '3.1', 'Fire': '3.1', 'Lightning': '2.1', 'Holy': '2.8'}]","[{'Immunity': '9', 'Robustness': '27', 'Focus': '5', 'Vitality': '8', 'Poise': '6'}]",3.8,,Dropped by the Ancient Hero of Zamor fought at the Mountaintops of the Giants. Elden Ring Map here,7,0
212,Dryleaf Robe,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dryleaf_robe_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Sun-faded and lightly soiled travel attire worn by clergymen. The gold necklace found under the breast belongs to a group of spiritual seekers known as the Dryleaf Sect. This sect rejects dependence on others in all matters of faith, seeking self-discipline and self-sufficiency above all else.",chest armor,"[{'Physical': '5.3', 'VS Strike': '6.7', 'VS Slash': '4.2', 'VS Pierce': '4.2', 'Magic': '14.1', 'Fire': '11.9', 'Lightning': '12.6', 'Holy': '14.1'}]","[{'Immunity': '38', 'Robustness': '25', 'Focus': '76', 'Vitality': '71', 'Poise': '10'}]",5.1,,Found under a waterfall in the lower portions under Bonny Village. This area can only be accessed by using the ladder in Shadow Keep to get down to a special teleport coffin (this Elden Ring Map location). This will take you to Ruins of Unte and you must follow the cliffs downstream and then carefully drop down to bottom level to reach the mausoleum. [Shadow of the Erdtree Map],15,1
213,Dryleaf Robe (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/dryleaf_robe_(altered)_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Sun-faded and lightly soiled travel attire worn by clergymen. The leather satchel hanging from the shoulder is decorated with one of Miquella's emblems, a golden grass motif.",chest armor,"[{'Physical': '4.2', 'VS Strike': '6.1', 'VS Slash': '2.7', 'VS Pierce': '2.7', 'Magic': '13.8', 'Fire': '11.4', 'Lightning': '12.4', 'Holy': '13.8'}]","[{'Immunity': '35', 'Robustness': '24', 'Focus': '67', 'Vitality': '63', 'Poise': '8'}]",4.1,,Alter Dryleaf Robe at any site of Grace.,15,1
214,Gaius's Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gaiuss_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,The black iron chest armor of Commander Gaius. Part of an armor set patterned after fallen seeds. Gaius was the most senior disciple of the same Alabaster Lord who taught Radahn and Gaea gravitational technique.,chest armor,"[{'Physical': '16.8', 'VS Strike': '15.7', 'VS Slash': '19.7', 'VS Pierce': '19.2', 'Magic': '14.1', 'Fire': '13.8', 'Lightning': '13.8', 'Holy': '13.8'}]","[{'Immunity': '67', 'Robustness': '83', 'Focus': '55', 'Vitality': '55', 'Poise': '38'}]",20.1,,Purchased from the Enia at the Roundtable Hold after defeating Commander Gaius.,12,1
215,Leda's Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ledas_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Chest armor of Needle Knight Leda. Slightly strengthens attacks following a dodge roll or backstep, as well as dash attacks. Embroidered with a golden crossed-tree motif, the chalk white cloak and surcoat symbolize the honor of the Needle Knights. ""Kindly Miquella fashioned us as his needles to quell all, to ward away all.""",chest armor,"[{'Physical': '12.7', 'VS Strike': '11.2', 'VS Slash': '12.2', 'VS Pierce': '11.7', 'Magic': '10.9', 'Fire': '10.2', 'Lightning': '7.1', 'Holy': '10.2'}]","[{'Immunity': '29', 'Robustness': '52', 'Focus': '22', 'Vitality': '21', 'Poise': '21'}]",10.6,"Slightly strengthens attacks following a dodge roll or backstep, as well as dash attacks.",Found on Needle Knight Leda's body after invading and defeating her,19,1
216,Oathseeker Knight Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/oathseeker_knight_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Oathseeker Knight chest armor. Black with gold ornamentation. These knights set off on quests of discovery, hoping to find by themselves an oath of their own choosing to serve in perfect, lifelong devotion.",chest armor,"[{'Physical': '12.2', 'VS Strike': '10.0', 'VS Slash': '11.7', 'VS Pierce': '11.2', 'Magic': '9.5', 'Fire': '9.5', 'Lightning': '6.7', 'Holy': '9.5'}]","[{'Immunity': '25', 'Robustness': '50', 'Focus': '21', 'Vitality': '21', 'Poise': '19'}]",9.2,,"Found inside a hanging body, just outside the Church of Benediction. It contains the whole set: Oathseeker Knight Greaves, Oathseeker Knight Gauntlets, Oathseeker Knight Armor, and Oathseeker Knight Helm. It also contains Pata weapon. [See Shadow of the Erdtree Map]",2,1
217,Verdigris Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/verdigris_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Chest armor made from an unusual metal known as verdigris. Verdigris is said to be the gift of an outer god. Possessed of an enormously hefty yet supple strength thanks to its rusted nature.,chest armor,"[{'Physical': '20.4', 'VS Strike': '17.7', 'VS Slash': '19.7', 'VS Pierce': '18.7', 'Magic': '13.5', 'Fire': '13.5', 'Lightning': '14.5', 'Holy': '13.3'}]","[{'Immunity': '82', 'Robustness': '97', 'Focus': '32', 'Vitality': '45', 'Poise': '47'}]",25.9,,Complete Moore's questline,19,1
218,Iron Rivet Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/iron_rivet_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Chest armor of Red Bear, whose name is lost to madness. A vest reinforced with iron rivets. After killing the great red bear in a blood-soaked bout, he became fascinated by the untainted glory of its naked strength. ""I wish to be a bear, no more, and no less.""",chest armor,"[{'Physical': '7.1', 'VS Strike': '8.0', 'VS Slash': '7.1', 'VS Pierce': '7.1', 'Magic': '10.9', 'Fire': '10.2', 'Lightning': '11.9', 'Holy': '10.2'}]","[{'Immunity': '57', 'Robustness': '46', 'Focus': '42', 'Vitality': '42', 'Poise': '13'}]",7.1,,Dropped by Red Bear. Red Bear can be found at the Northern Nameless Mausoleum. The Northern Nameless Mausoleum is located East of the Temple Ruins. [Elden Ring Shadow of the Erdtree Map],7,1
219,Thiollier's Garb,http://eldenring.wiki.fextralife.com/file/Elden-Ring/thiolliers_garb_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"The dark attire of those who wield poison in secret. The silver hair is arranged in the same style as St. Trina's, increasing arcane. Additionally, countless needles are sewn onto the exterior, apparently for talismanic effect.",chest armor,"[{'Physical': '8.8', 'VS Strike': '8.8', 'VS Slash': '7.1', 'VS Pierce': '7.1', 'Magic': '8.0', 'Fire': '9.5', 'Lightning': '10.9', 'Holy': '10.2'}]","[{'Immunity': '71', 'Robustness': '28', 'Focus': '63', 'Vitality': '38', 'Poise': '13'}]",7.1,Increases Arcane by +2,"Summon Thiollier during the battle at the end of his questline, then loot his body in the boss arena after the fight",19,1
220,Thiollier's Garb (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/thiolliers_garb_(altered)_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,The dark attire of those who wield poison in secret.Countless needles are sewn onto the exterior for talismanic effect.,chest armor,"[{'Physical': '8.0', 'VS Strike': '8.0', 'VS Slash': '6.7', 'VS Pierce': '6.7', 'Magic': '7.1', 'Fire': '8.8', 'Lightning': '10.2', 'Holy': '9.5'}]","[{'Immunity': '67', 'Robustness': '25', 'Focus': '60', 'Vitality': '35', 'Poise': '12'}]",6.3,,Alter Thiollier's Garb at any site of grace.,19,1
221,High Priest Robe,http://eldenring.wiki.fextralife.com/file/Elden-Ring/high_priest_robe_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Robe of Count Ymir, High Priest. Conceals the abundance of squirming beneath. Gold embroidery decorates the purple cloth, with a jewelled ruff that sparkles like a flower wet with dew.",chest armor,"[{'Physical': '5.2', 'VS Strike': '6.0', 'VS Slash': '4.1', 'VS Pierce': '2.6', 'Magic': '12.8', 'Fire': '12.6', 'Lightning': '12.4', 'Holy': '12.6'}]","[{'Immunity': '38', 'Robustness': '21', 'Focus': '57', 'Vitality': '69', 'Poise': '10'}]",4.2,,"Dropped by Count Ymir, Mother of Fingers, who can be found in the Cathedral of Manus Metyr after interacting with the throne, you can only find Count Ymir there after you have defeated Metyr, Mother of Fingers. [Elden Ring Shadow of the Erdtree Map]",6,1
222,Finger Robe,http://eldenring.wiki.fextralife.com/file/Elden-Ring/finger_robe_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Robe of Count Ymir, High Priest. The front is open, exposing the squirming fingers beneath. This robe is the image of his fervent desire having broken free, laying bare his greatest wish, and wearing it enhances finger sorceries. ""I will be the true mother. My fingers will grant us redemption!""",chest armor,"[{'Physical': '6.0', 'VS Strike': '6.6', 'VS Slash': '5.2', 'VS Pierce': '4.1', 'Magic': '13.0', 'Fire': '12.8', 'Lightning': '12.6', 'Holy': '12.8'}]","[{'Immunity': '42', 'Robustness': '21', 'Focus': '64', 'Vitality': '82', 'Poise': '12'}]",5.1,Enhances Finger Sorceries by 8%,Once you obtain the High Priest Robe you can alter it at a grace site to become this robe.,6,1
223,Braided Cord Robe,http://eldenring.wiki.fextralife.com/file/Elden-Ring/braided_cord_robe_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Ragged black cloth overlaid with braided cord. Attire of a vengeance-seeking hornsent. The braided cord ties together the vow of the revenger with the victims' grudges. It must never come undone. Enhances both watchful spirits and the vengeful spirits summoned by horned bairns.,chest armor,"[{'Physical': '6.3', 'VS Strike': '5.2', 'VS Slash': '5.2', 'VS Pierce': '3.7', 'Magic': '13.6', 'Fire': '11.9', 'Lightning': '12.9', 'Holy': '14.0'}]","[{'Immunity': '38', 'Robustness': '20', 'Focus': '104', 'Vitality': '59', 'Poise': '5'}]",3.4,Enhances watchful and vengeful spirits summoned by horned bairns by 15%.,Complete Hornsent quest. [Video Location],19,1
224,Dancer's Dress,http://eldenring.wiki.fextralife.com/file/Elden-Ring/dancers_dress_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Bright-red dress of the Ranah dancers. Enhances the power of dancing attacks. The dance of Ranah is one of burning passion, and the most passionate dancers never allow their fiery dance to end, losing even their names as they dance on. To see the passion fade is to see the dancer's flame extinguished.",chest armor,"[{'Physical': '4.2', 'VS Strike': '2.7', 'VS Slash': '6.1', 'VS Pierce': '2.7', 'Magic': '12.6', 'Fire': '12.6', 'Lightning': '11.9', 'Holy': '12.4'}]","[{'Immunity': '34', 'Robustness': '21', 'Focus': '54', 'Vitality': '57', 'Poise': '5'}]",3.2,Enhances the power of dancing attacks by 2.5%.,Dropped by defeating Dancer of Ranah at the Southern Nameless Mausoleum [Elden Ring Shadow of the Erdtree Interactive Map],9,1
225,Dancer's Dress (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/dancers_dress_(altered)_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Altered form of the deep crimson dress of the Ranah dancers. These are the black undergarments worn beneath. Enhances the power of dancing attacks.,chest armor,"[{'Physical': '2.7', 'VS Strike': '0.6', 'VS Slash': '5.3', 'VS Pierce': '0.6', 'Magic': '12.4', 'Fire': '12.4', 'Lightning': '11.4', 'Holy': '11.9'}]","[{'Immunity': '32', 'Robustness': '21', 'Focus': '52', 'Vitality': '54', 'Poise': '3'}]",2.4,Enhances the power of dancing attacks by 2.5%.,Alter Dancer's Dress.,9,1
226,Armor of Night,http://eldenring.wiki.fextralife.com/file/Elden-Ring/armor_of_night_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Bottomless black chest armor, cool to the touch.Flowing lines in the seeming shape of a fingerprint adorn the surface. Imprisons the wearer in utterly lightless dark.Bestowed upon those born deep underground, ordaining them as Swordhands of Night.",chest armor,"[{'Physical': '7.1', 'VS Strike': '7.1', 'VS Slash': '8.0', 'VS Pierce': '8.0', 'Magic': '12.4', 'Fire': '9.5', 'Lightning': '9.5', 'Holy': '12.6'}]","[{'Immunity': '55', 'Robustness': '32', 'Focus': '46', 'Vitality': '46', 'Poise': '12'}]",7.1,,"Bonny Gaol: Use the jar lift near the bridge twice to reach the top level of the gaol. First, hop on the jar, go to the bridge level, and activate the switch. Ride the jar lift for the second time to go to the top level. You can find the Night Set on a corpse laying on top of a table. [See SOTE Elden Ring DLC Map] [Video Link]",6,1
227,Igon's Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Armor of the broken drake warrior Igon, from a set comprised of a miscellany of parts. Filthy belongings are attached to this tattered piece of protective-wear. The poor scavenger of battlefields found honor through Dragon Communion.",chest armor,"[{'Physical': '9.5', 'VS Strike': '10.2', 'VS Slash': '9.5', 'VS Pierce': '9.5', 'Magic': '10.9', 'Fire': '11.4', 'Lightning': '11.9', 'Holy': '10.9'}]","[{'Immunity': '57', 'Robustness': '38', 'Focus': '50', 'Vitality': '50', 'Poise': '17'}]",8,,Loot Igon after defeating Bayle the Dread.,14,1
228,Igon's Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_armor_(altered)_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Armor of the broken drake warrior Igon, from a set comprised of a miscellany of parts. Patched with scraps of cloth. The poor scavenger of battlefields found honor through Dragon Communion.",chest armor,"[{'Physical': '8.8', 'VS Strike': '9.5', 'VS Slash': '8.8', 'VS Pierce': '8.8', 'Magic': '10.2', 'Fire': '10.9', 'Lightning': '11.4', 'Holy': '10.2'}]","[{'Immunity': '54', 'Robustness': '34', 'Focus': '45', 'Vitality': '45', 'Poise': '16'}]",7.7,,Alter Igon's Armor at a site of grace.,14,1
229,Ansbach's Attire,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ansbachs_attire_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Attire of Sir Ansbach. The embroidered crest of the Pureblood Knights has now all but faded away. Slightly enhances Blood Oath and dynastic skills. Ansbach understood that keeping his oath to his old master was not an act of logic, nor would it bear any justice, but it was for these very reasons he was unable to let go.",chest armor,"[{'Physical': '5.3', 'VS Strike': '6.1', 'VS Slash': '6.1', 'VS Pierce': '4.2', 'Magic': '13.0', 'Fire': '13.0', 'Lightning': '12.6', 'Holy': '13.0'}]","[{'Immunity': '38', 'Robustness': '25', 'Focus': '76', 'Vitality': '90', 'Poise': '12'}]",5.1,Slightly enhances Blood Oath and dynastic skills by 3%.,"Complete Sir Ansbach's questline all the way through the end, and side with him when facing Leda, and then Promised Consort Radahn/ Radahn, Consort of Miquella. After the fight is over, Sir Ansbach's body will be near the site of grace, alongside with his equipment and his Incantation. [Map Link]",19,1
230,Ansbach's Attire (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/ansbachs_attire_(altered)_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,Attire of Sir Ansbach. Black cloth adorned with gold embroidery. Slightly enhances Blood Oath and dynastic skills.,chest armor,"[{'Physical': '4.2', 'VS Strike': '5.3', 'VS Slash': '5.3', 'VS Pierce': '2.7', 'Magic': '12.8', 'Fire': '12.8', 'Lightning': '12.4', 'Holy': '12.8'}]","[{'Immunity': '35', 'Robustness': '25', 'Focus': '67', 'Vitality': '76', 'Poise': '10'}]",4.1,Slightly enhances Blood Oath and dynastic skills by 3%.,Alter Ansbach's Atirre at a Site of Grace.,19,1
231,Freyja's Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/freyjas_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Golden armor of Redmane Freyja, member of General Radahn's most distinguished knights. Affixed with a black woolen mantle. After witnessing Freyja's valor as a gladiator in his youth, Radahn invited her to join the ranks of his most trusted warriors.",chest armor,"[{'Physical': '13.5', 'VS Strike': '9.5', 'VS Slash': '11.4', 'VS Pierce': '11.4', 'Magic': '8.8', 'Fire': '9.5', 'Lightning': '8.0', 'Holy': '9.5'}]","[{'Immunity': '22', 'Robustness': '54', 'Focus': '10', 'Vitality': '22', 'Poise': '19'}]",9.7,,Drop by Redmane Freyja.,19,1
232,Freyja's Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/freyjas_armor_(altered)_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Golden armor of Redmane Freyja, member of General Radahn's most distinguished knights. After witnessing Freyja's valor as a gladiator in his youth, Radahn invited her to join the ranks of his most trusted warriors.",chest armor,"[{'Physical': '12.9', 'VS Strike': '8.8', 'VS Slash': '10.9', 'VS Pierce': '10.9', 'Magic': '8.0', 'Fire': '8.8', 'Lightning': '7.1', 'Holy': '8.8'}]","[{'Immunity': '21', 'Robustness': '52', 'Focus': '0', 'Vitality': '21', 'Poise': '17'}]",9.3,,Alter Freyja's Armor at any site of grace.,19,1
233,Armor of Solitude,http://eldenring.wiki.fextralife.com/file/Elden-Ring/armor_of_solitude_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Steel chest armor of the Knights of the Solitary Gaol. Part of a heavy armor set that covers the whole body in overlapping plates of steel, and bedecked with a black cloak. The nameless mausoleums of the realm of shadow are said to hold the spirits of warriors who lost their names, or their hearts.",chest armor,"[{'Physical': '18.7', 'VS Strike': '17.7', 'VS Slash': '18.3', 'VS Pierce': '17.5', 'Magic': '13.3', 'Fire': '14.5', 'Lightning': '13.5', 'Holy': '13.8'}]","[{'Immunity': '60', 'Robustness': '63', 'Focus': '99', 'Vitality': '50', 'Poise': '45'}]",24,,Can be obtained after defeating the Blackgaol Knight found inside Northern Nameless Mausoleum. [See Shadow of the Erdtree Map],1,1
234,Armor of Solitude (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/armor_of_solitude_(altered)_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Steel chest armor of the Knights of the Solitary Gaol. Part of a heavy armor set that covers the whole body in overlapping plates of steel. The nameless mausoleums of the realm of shadow are said to hold the spirits of warriors who lost their names, or their hearts.",chest armor,"[{'Physical': '18.3', 'VS Strike': '17.0', 'VS Slash': '17.5', 'VS Pierce': '16.8', 'Magic': '13.0', 'Fire': '14.1', 'Lightning': '13.3', 'Holy': '13.5'}]","[{'Immunity': '57', 'Robustness': '60', 'Focus': '90', 'Vitality': '46', 'Poise': '43'}]",23.2,,Alter Armor of Solitude at any site of grace.,1,1
235,Messmer Soldier Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmer_soldier_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Armor worn by soldiers who serve Messmer the Impaler. A ragged cloak is draped over rusted mail. Though the chestpiece features a Scadutree motif, gold has been used for its engraving. A small consolation to those forced to wage a war without grace or honor.",chest armor,"[{'Physical': '12.1', 'VS Strike': '9.7', 'VS Slash': '12.1', 'VS Pierce': '11.6', 'Magic': '8.2', 'Fire': '9.7', 'Lightning': '6.9', 'Holy': '8.2'}]","[{'Immunity': '22', 'Robustness': '42', 'Focus': '16', 'Vitality': '16', 'Poise': '18'}]",9.2,,Drop by Messmer Soldiers,5,1
236,Messmer Soldier Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmer_soldier_armor_(altered)_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Armor worn by soldiers who serve Messmer the Impaler. The mail has rusted while fighting in unending war. Though the chestpiece features a Scadutree motif, gold has been used for its engraving. A small consolation to those forced to wage a war without grace or honor.",chest armor,"[{'Physical': '12.1', 'VS Strike': '9.7', 'VS Slash': '12.1', 'VS Pierce': '11.6', 'Magic': '8.2', 'Fire': '9.7', 'Lightning': '6.9', 'Holy': '8.2'}]","[{'Immunity': '22', 'Robustness': '42', 'Focus': '16', 'Vitality': '16', 'Poise': '18'}]",8.1,,Alter Messmer Soldier Armor at any site of grace.,5,1
237,Black Knight Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/black_knight_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Armor worn by the Black Knights, servants of Messmer the Impaler. Though the engraving above the heart is a Scadutree design, it is etched in gold. A small consolation to those forced to wage a war without grace or honor.",chest armor,"[{'Physical': '14.6', 'VS Strike': '12.4', 'VS Slash': '14.6', 'VS Pierce': '16.0', 'Magic': '12.4', 'Fire': '13.0', 'Lightning': '10.9', 'Holy': '11.4'}]","[{'Immunity': '38', 'Robustness': '61', 'Focus': '22', 'Vitality': '21', 'Poise': '28'}]",13.7,,"Black Knight Set pieces are dropped from Black Knights, found throughout the Lands of Shadow.",5,1
238,Rakshasa Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rakshasa_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Armor of Rakshasa, soaked in the spurting blood of her victims. Tatters of ragged cloth jut out haphazardly, as if her lust for carnage threatens to break free.Increases damage dealt to foes, but greatly increases damage taken by the wearer.Cut down and devour. Only those who repeat the cycle without rest can truly subvert the self and become Rakshasa.",chest armor,"[{'Physical': '11.2', 'VS Strike': '10.1', 'VS Slash': '12.3', 'VS Pierce': '11.8', 'Magic': '9.6', 'Fire': '10.6', 'Lightning': '9.1', 'Holy': '9.6'}]","[{'Immunity': '35', 'Robustness': '60', 'Focus': '28', 'Vitality': '28', 'Poise': '27'}]",12.8,Boosts All Damage by 2%,Dropped by Rakshasa in Eastern Nameless Mausoleum. This area can only be accessed by using the ladder in Shadow Keep to get down to a special teleport coffin (this Elden Ring Map location). This will take you to Ruins of Unte and you must follow the cliffs downstream and then carefully drop down to bottom level to reach the mausoleum. [Shadow of the Erdtree Map],15,1
239,Fire Knight Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_knight_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Armor of the Fire Knights under Messmer the Impaler's personal command. Distinguished by its red cape and twin golden snakes which adorn the neck, enhancing incantations of Messmer's flame. These were the only ones who truly knew Messmer. His flames, like serpents. The painful fate that accompanied his accursed form.",chest armor,"[{'Physical': '12.9', 'VS Strike': '10.2', 'VS Slash': '11.9', 'VS Pierce': '10.9', 'Magic': '9.5', 'Fire': '11.9', 'Lightning': '7.1', 'Holy': '8.8'}]","[{'Immunity': '28', 'Robustness': '46', 'Focus': '21', 'Vitality': '24', 'Poise': '19'}]",9.3,Enhances incantations of Messmer's flame by 5%.,Drop by Fire Knights in the Shadow Keep,17,1
240,Fire Knight Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_knight_armor_(altered)_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Armor of the Fire Knights under Messmer the Impaler's personal command. Each and every knight hailed from a renowned family of the Erdtree's upper echelons, but were shunned and chased from their homes after pledging allegiance to Messmer as their master.",chest armor,"[{'Physical': '11.9', 'VS Strike': '9.5', 'VS Slash': '11.9', 'VS Pierce': '10.2', 'Magic': '8.0', 'Fire': '10.9', 'Lightning': '7.1', 'Holy': '8.0'}]","[{'Immunity': '25', 'Robustness': '42', 'Focus': '18', 'Vitality': '23', 'Poise': '17'}]",8.4,,Alter Fire Knight Armor at any site of grace.,17,1
241,Gloried Attire,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gloried_attire_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Traditional garb of highland warriors, made from woven fabric and finished with fur. This garment is made from fabrics with both blue and red patterns. Red-patterned fabrics were allowed only to those who hunted bearsthe greatest and most glorious of the highlanders.",chest armor,"[{'Physical': '8.0', 'VS Strike': '9.5', 'VS Slash': '8.8', 'VS Pierce': '8.0', 'Magic': '8.8', 'Fire': '10.2', 'Lightning': '11.4', 'Holy': '10.2'}]","[{'Immunity': '57', 'Robustness': '32', 'Focus': '46', 'Vitality': '42', 'Poise': '13'}]",7.1,,"To the northwest of the Ravine North Site of Grace, there is a forest inhabited by runebears. At the center of this forest, you'll find a large stone with several items on it, this whole armor set is at the top of the stone. [Map Link]",7,1
242,Highland Attire,http://eldenring.wiki.fextralife.com/file/Elden-Ring/highland_attire_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Traditional garb of highland warriors, made from woven fabric and finished with a blue patterned cloth. Highland warriors are known to be hunters of bears; to them, there is no act more glorious than the subjugation of a savage beast.",chest armor,"[{'Physical': '7.1', 'VS Strike': '8.8', 'VS Slash': '8.0', 'VS Pierce': '7.1', 'Magic': '8.0', 'Fire': '9.5', 'Lightning': '10.9', 'Holy': '9.5'}]","[{'Immunity': '55', 'Robustness': '28', 'Focus': '42', 'Vitality': '38', 'Poise': '13'}]",6.3,,"Found laying on the grounds in the middle of the woods, alongside the rest of the Highland Warrior Set. [Map Link]",6,1
243,Death Knight Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/death_knight_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Golden armor of the Death Knights, adorned with an antiquated depiction of the Erdtree. Enhances skills and incantations of the capital's ancient dragon cult. These knights, once Godwyn's personal guard, quested to find their transfigured master's cadaver surrogatefor the coming age of the Duskborn.",chest armor,"[{'Physical': '12.6', 'VS Strike': '10.7', 'VS Slash': '12.2', 'VS Pierce': '12.2', 'Magic': '9.3', 'Fire': '9.7', 'Lightning': '12.4', 'Holy': '8.2'}]","[{'Immunity': '25', 'Robustness': '42', 'Focus': '16', 'Vitality': '42', 'Poise': '22'}]",11.2,Enhances skills and incantations of the ancient dragon cult by 2%.,"Darklight Catacombs, on a Death Knight corpse",15,1
244,Messmer's Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmers_armor_chest_armor_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Black armor of Messmer the Impaler. Draped with a red cloak bearing his crest embroidered. On his mother's wishes, Messmer made himself a symbol of fear, undertaking the cleansing crusade she desired. ""Direct thy maledictions, thine ire, and thy grief towards me alone.""",chest armor,"[{'Physical': '9.3', 'VS Strike': '9.3', 'VS Slash': '8.6', 'VS Pierce': '10.7', 'Magic': '10.0', 'Fire': '12.2', 'Lightning': '11.7', 'Holy': '10.0'}]","[{'Immunity': '54', 'Robustness': '38', 'Focus': '52', 'Vitality': '54', 'Poise': '16'}]",7.8,,Purchase from Finger Reader Enia at Roundtable Hold after defeating Messmer the Impaler,17,1
